time,Hash,Sender,Receiver,"Transaction_amount_BTC",Price,"Transaction_amount_USD"
"2015-03-31",16f27194b06bcf1f61b1531a2a861fdcd027a23242809003a051380ae398492f,1BtNH4rtj3PVe6PWYsziQMnXofZmoPmGHu,1PrGFmmFFeD6v9ihS74ewjAzSMmQxsQAuw,"5272.9999","245.90278169014084","1296645.3"
"2015-03-31",68a4c74ebb211c5c61caa0296d9eae5b0336e0c7b7c68a91192419cd3ea4014b,"1NE3QFkf4aFUgCNTvGjiZsY59yDsGratiU
1Bst4GwKrN2wTNrVE9idtVsQie5YWMTVMK
1Cbf24PDY2uc7hMatf6GYQdddPmbMC7HV5
17DMzA133DRuERshG9CXK8jhqeyYbTDti1
1GRxjtEVyfBaJFKYLRnbbGxn47E6RKqm1F",18zXyBVHCU3hu3ivszZNh3NqA1eA1jVBsm,"4509.87714053","245.90278169014084","1108991.33394"
"2015-03-31",ddf989c7797164150de0764e364f7e01b7253538de753fbcbceb5bfddaaeb09d,15HgmxddgExHKTfkXwacQgKf9nx8PZEDri,1EdyFyyzgxWsV3P1x41vKDrEeDDyz9QAMe,"4138.09424942","245.90278169014084","1017568.88683"
"2015-03-31",1866b030f8a3a6f83393fa23215759c05d13a2bf30d716f8a969acadcda48bab,18uvUoZuDFXaPjKBDHu8w2PNYqY6dXDs8G,1HoiNQf18RwzeLhBmcGM8Pqqyqc9KCSiYE,"4458.36429747","245.90278169014084","1096324.18254"
"2015-03-31",1866b030f8a3a6f83393fa23215759c05d13a2bf30d716f8a969acadcda48bab,18uvUoZuDFXaPjKBDHu8w2PNYqY6dXDs8G,14LPd6dcAZpJD3jfz8FPJcgdL8G1hMWZTq,8000,"245.90278169014084","1967222.2535211267"
"2015-03-30",bfa3f44364a364b71a24f56834d6dfcebba9ce6a367af76f7ea8d8ab08e2f452,3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,3KgtbGgaX2ngstNpvyv7LwpHSweVeqGbpM,5000,"244.8118055555555","1224059.027777778"
"2015-03-30",1da185c6552253a46f7fb821edd30a63309e3855aec56a8c067fd86ba4b11ada,"13J9tpyXesCz2tqCCst6Ztqpy2MwawmtZc
13UFDc1pfEjJLrbeo6QvAGAN1kUYfAtcTH
1HgoVachN7yAe8wpgF99D1PWGsHA2pHMSX
1KWnBaEiZx3F5jPeX7nh1iRLVhzToBDptB
1JqrfQT2Ee6PkVCQdY51Jf2kmDZt6z42ts
13QpzTUk1Uq4zuQ4e93mtLMhh2XZt2iTQf
1LG9oMu2aNUESdM1zbWtUk3JwsVwDCH64z
1AUGg9FuzYZ4cZiTzXd4ufTrPykzcm1Hk
1HFKwB555QHheXeXJZDqY1DARqLHjfsUfc
1FLDodFg7omRi3EmX53QUbdcynyVPMjDLR
1DPx2UJtwCQ3N8eGiuDoZSCB7x3rAPWcXw
19iTuoyf9WgJc9kPSmT9vHYXMJd3E5kBMo
19smmWPcQDKuVA8r9pLirsKUPJ4uqPRYGQ
1FHp9qwZ49Ti2JkUhySCtcHScuvm6guGrW
1FBYuHBN7VBqBdPFVt1SUsB71qR5pdE7mK",16wfNuFxjsQvNXDA8yahYTpeSyEGt3Zn83,"4265.74540183","244.8118055555555","1044304.83386"
"2015-03-27",ed61765a120b3d103827f6da2f251ca5d33a99f531ad2033c4d19cb2b49b970b,183LytTb7GgTif1q9ggaqw2MY8GSq6SsH7,1PPz1AfxKHCfnrPCUzt25SQt3ZjSzKmrpD,"4995.5531","248.49188612099638","1241354.4"
"2015-03-27",c7692e6e0e7b296cb21f1847ac7091add01ea13a3b5c2fff608371afcb2d8b6c,16RpBxSzcpH695cF1b6Gap51MNSzJjyD6c,1BazguQDUVurznLDhXmVo3VmvhaiFDp2SJ,"5420.9165","248.49188612099638","1347053.8"
"2015-03-27",81e11890831bdcd56d0dcf3092f1220a32dace97d98d05c87c5e0d383f0f8c5c,163ESPgZnbSzwmrB6UYwwCCqpmCC7tzD8D,1AgUZ9uCqHCXzLSgAozjZq9SNUGpVdQ3K8,"4167.00111","248.49188612099638","1035465.97"
